Tm,Season,W,L,W-L%,assists,at_bats,at_bats_per_home_run,at_bats_per_strike_out,at_bats_risp,babip,balls,balls_in_play,balls_throwns,batters_faced,batting_average,blown_save,caught_stealing,complete_games,dirtballs,dirtballs_throwns,double_plays,doubles,doubles_allowed,earned_runs,earned_runs_allowed,era,extra_base_hits,fielders_choice,fielders_choice_allowed,fielding_errors,fielding_pct,fly_outs,fly_outs_allowed,fly_outs_into_double_plays,fly_outs_into_double_plays_allowed,foul_balls,foul_balls_throwns,gofo,ground_ball_to_fly_ball_ratio,ground_outs,ground_outs_allowed,ground_outs_into_double_plays,ground_outs_into_double_plays_allowed,hit_batters,hit_by_pitches,hits,hits_allowed,hits_risp,holds,home_runs,home_runs_allowed,innings_pitched,innings_pitched_total_outs,intentional_balls,intentional_balls_throwns,intentional_walks,intentional_walks_allowed,iso,line_outs,line_outs_allowed,line_outs_into_double_plays,line_outs_into_double_plays_allowed,lob_risp_2out,on_base_percentage,opponents_batting_average,ops,passed_balls,pitcher_runners_left_on_base,pitches_faced,pitches_thrown,pitching_errors,plate_appearances,pop_outs,pop_outs_allowed,putouts,quality_starts,rbi,reached_on_error,reached_on_error_allowed,runners_caught_stealing,runners_left_on_base,runs,runs_allowed,sacrifice_flies,sacrifice_flies_allowed,sacrifice_hits,sacrifice_hits_allowed,save_opportunities,saves,secondary_average,shutouts,singles,singles_allowed,slugging_pct,stolen_base_pct,stolen_bases,stolen_bases_allowed,strikeouts,strikeouts_allowed,strikeouts_looking,strikeouts_looking_allowed,strikeouts_per_9_innings,strikeouts_per_walk,strikeouts_swinging,strikeouts_swinging_allowed,strikes,strikes_looking,strikes_swinging,strikes_thrown,strikes_thrown_looking,strikes_thrown_swinging,team_left_on_base,team_shutouts,total_bases,total_bases_allowed,total_chances,triple_plays,triples,triples_allowed,unearned_runs,unearned_runs_allowed,walks,walks_allowed,walks_per_plate_appearance,walks_per_strike_out,whip,wild_pitches,wild_pitches_while_catching
Boston Red Sox,2018,108,54,0.667,1366.0,5623.0,27.034,4.488,1459.0,0.309,8539,4210.0,8297,6166.0,0.268,20,31,2,612,459,106.0,355,247,805,609,3.758,594.0,152,163,76.0,0.987,731,710,3,5,4358,4534,1.09,0.898,1591,1280,130,89,84,55,1509,1306,,108,208,176,,,0,0,38,8,0.185,409,403,8,6,579.0,0.339,0.237,0.792,25.0,2346.0,24653.0,24619.0,,6302.0,315,313,4376.0,67,829.0,56,,30,2386.0,876,647,48,46,7,9,66,46,0.303,0,915,848,0.453,0.801,125,61,1253,1558,279,405,9.612,3.09,974,1153,6664,4114,2550,7233,4270,2963,,0,2550,2151,,,31,35,71,38,531,504,0.09,0.454,1.246,51.0,51.0
New York Yankees,2018,100,62,0.617,1344.0,5515.0,20.655,3.881,1293.0,0.285,8879,3886.0,7981,6141.0,0.249,18,21,2,645,678,95.0,269,293,788,611,3.776,559.0,158,147,94.0,0.984,776,675,2,3,4253,4365,0.99,0.967,1444,1300,107,82,58,62,1374,1311,,77,267,177,,,0,0,21,9,0.202,350,365,13,5,542.0,0.329,0.237,0.78,25.0,2398.0,25145.0,24612.0,,6271.0,326,304,4369.0,67,821.0,42,,31,2389.0,851,669,59,29,10,17,67,49,0.323,2,815,828,0.451,0.75,63,86,1421,1634,319,302,10.098,3.37,1102,1332,7143,4189,2954,7575,4271,3304,,2,2490,2161,,,23,13,63,58,604,485,0.1,0.44,1.239,73.0,73.0
Tampa Bay Rays,2018,90,72,0.556,1483.0,5475.0,36.5,3.945,1419.0,0.317,8016,3987.0,7807,5992.0,0.258,22,51,0,554,584,136.0,274,262,653,603,3.747,467.0,151,131,85.0,0.986,650,750,6,4,4161,4110,1.15,0.993,1536,1385,122,122,53,101,1415,1236,,115,150,164,,,0,0,17,34,0.148,403,356,13,5,604.0,0.333,0.23,0.739,17.0,2138.0,23677.0,23342.0,,6195.0,283,289,4345.0,45,664.0,35,,27,2409.0,716,646,50,39,28,16,74,52,0.261,0,948,790,0.406,0.715,128,75,1388,1421,322,273,8.829,3.04,1066,1148,6679,3779,2900,6771,3782,2989,,0,2225,2030,,,43,20,63,43,523,467,0.087,0.389,1.199,55.0,55.0
Toronto Blue Jays,2018,73,89,0.451,1447.0,5477.0,25.24,3.949,1244.0,0.286,7878,3910.0,8364,6265.0,0.244,20,30,0,574,680,138.0,320,325,665,773,4.853,553.0,117,156,102.0,0.983,740,779,3,7,4016,4180,1.0,0.929,1456,1383,118,117,67,58,1336,1475,,83,217,208,,,0,0,15,19,0.183,377,369,14,7,518.0,0.312,0.264,0.739,8.0,2393.0,23481.0,24498.0,,6076.0,341,340,4301.0,58,680.0,49,,39,2240.0,709,832,37,48,5,18,59,39,0.277,0,783,910,0.427,0.61,47,134,1387,1298,291,309,8.145,2.44,1096,989,6823,3884,2939,6858,4080,2778,,0,2339,2488,,,16,32,44,59,484,532,0.082,0.36,1.413,71.0,71.0
Baltimore Orioles,2018,47,115,0.29,1537.0,5507.0,29.293,3.9,1118.0,0.286,7723,3942.0,8492,6340.0,0.239,18,22,2,565,616,159.0,242,325,588,825,5.189,445.0,121,153,104.0,0.982,708,726,1,4,4173,4383,1.14,0.959,1573,1434,132,131,67,57,1317,1552,,54,188,234,,,0,0,19,29,0.152,363,428,8,13,496.0,0.298,0.276,0.689,9.0,2480.0,23476.0,24647.0,,6034.0,314,341,4293.0,64,593.0,38,,41,2170.0,622,892,35,42,13,17,46,28,0.239,0,872,959,0.391,0.786,81,82,1412,1203,285,238,7.569,2.15,1127,965,6815,3737,3078,6607,3960,2647,,0,2153,2647,,,15,34,34,67,403,560,0.07,0.299,1.496,81.0,81.0
Cleveland Indians,2018,91,71,0.562,1353.0,5595.0,25.903,4.706,1396.0,0.291,8545,4234.0,7543,6071.0,0.259,17,36,5,612,466,123.0,298,311,768,611,3.773,533.0,127,131,83.0,0.986,781,732,1,2,4412,4089,0.95,0.971,1521,1335,98,97,59,80,1448,1349,,76,216,200,,,0,0,32,29,0.176,479,358,17,13,583.0,0.332,0.242,0.767,9.0,2212.0,24591.0,23458.0,,6300.0,344,285,4372.0,98,787.0,49,,28,2386.0,818,648,44,21,25,16,58,41,0.293,2,915,815,0.435,0.789,135,81,1189,1544,255,406,9.531,4.09,934,1138,6465,4057,2408,7240,4159,3081,,2,2432,2306,,,19,23,50,37,522,378,0.088,0.466,1.205,54.0,54.0
Minnesota Twins,2018,78,84,0.48100000000000004,1454.0,5526.0,33.289,4.161,1257.0,0.298,8351,4070.0,8665,6287.0,0.25,28,27,2,593,593,127.0,318,280,682,722,4.502,506.0,113,133,97.0,0.984,809,752,2,1,4302,4503,0.91,0.94,1409,1372,89,112,80,37,1380,1425,,83,166,198,,,0,0,25,34,0.155,402,392,5,8,529.0,0.318,0.256,0.723,12.0,2476.0,24509.0,24927.0,,6154.0,344,316,4330.0,61,704.0,32,,28,2265.0,738,775,38,49,19,25,65,37,0.256,1,874,921,0.405,0.635,47,83,1328,1377,321,289,8.586,2.56,1007,1088,6971,4418,2553,6829,3906,2923,,1,2240,2351,,,22,26,56,53,509,539,0.087,0.402,1.384,59.0,59.0
Detroit Tigers,2018,64,98,0.395,1428.0,5494.0,40.696,4.097,1268.0,0.294,7566,4058.0,8332,6130.0,0.242,24,30,0,496,450,126.0,284,278,584,728,4.597,454.0,141,131,95.0,0.984,713,825,2,4,4460,4198,0.98,0.84,1481,1342,110,102,60,52,1327,1423,,76,135,216,,,0,0,18,20,0.138,454,415,14,11,555.0,0.3,0.258,0.68,8.0,2211.0,23350.0,23955.0,,6029.0,343,358,4276.0,57,597.0,58,,36,2285.0,630,796,40,57,15,16,61,37,0.223,0,873,895,0.38,0.7,70,74,1341,1215,264,291,7.668,2.58,1077,924,6568,3653,2915,6551,4001,2550,,0,2086,2417,,,35,34,46,68,410,471,0.071,0.319,1.343,54.0,54.0
Chicago White Sox,2018,62,100,0.38299999999999995,1431.0,5523.0,30.346,3.465,1243.0,0.304,7605,3779.0,8780,6339.0,0.241,19,41,0,500,706,135.0,259,293,613,775,4.854,481.0,137,131,113.0,0.981,635,782,3,4,4346,4342,1.17,0.873,1482,1367,99,102,89,66,1332,1405,,67,182,196,,,0,0,18,25,0.16,361,413,5,20,557.0,0.302,0.254,0.703,20.0,2515.0,23716.0,24926.0,,6071.0,274,370,4311.0,74,639.0,48,,39,2180.0,656,848,32,47,24,18,53,34,0.248,0,851,892,0.401,0.705,98,127,1594,1259,363,296,7.884,2.01,1231,963,7213,3940,3273,6671,4040,2631,,0,2217,2334,,,40,24,43,73,407,628,0.07,0.267,1.432,94.0,94.0
Kansas City Royals,2018,58,104,0.358,1529.0,5505.0,35.516,4.202,1221.0,0.293,7661,4080.0,8277,6284.0,0.245,24,38,2,553,549,142.0,283,271,580,788,4.953,467.0,125,144,76.0,0.987,804,767,4,4,4242,4298,1.01,0.954,1525,1456,123,121,51,67,1350,1543,,52,155,205,,,0,0,13,28,0.147,395,452,11,8,527.0,0.305,0.275,0.697,10.0,2335.0,23328.0,24084.0,,6063.0,308,308,4296.0,63,606.0,47,,32,2228.0,638,833,40,57,24,23,57,33,0.238,0,883,1031,0.392,0.755,117,60,1310,1157,300,270,7.272,2.22,1010,887,6546,3700,2846,6382,3971,2411,,0,2156,2501,,,29,36,58,45,414,521,0.07,0.326,1.461,68.0,68.0
