Tm,Season,W,L,earned_runs,earned_runs_allowed,hits,hits_allowed,home_runs,home_runs_allowed,runs,runs_allowed,strikeouts,strikeouts_allowed,walks,walks_allowed
Boston Red Sox,2018,108,54,805,609,1509,1306,208,176,876,647,1253,1558,531,504
New York Yankees,2018,100,62,788,611,1374,1311,267,177,851,669,1421,1634,604,485
Tampa Bay Rays,2018,90,72,653,603,1415,1236,150,164,716,646,1388,1421,523,467
Toronto Blue Jays,2018,73,89,665,773,1336,1475,217,208,709,832,1387,1298,484,532
Baltimore Orioles,2018,47,115,588,825,1317,1552,188,234,622,892,1412,1203,403,560
Cleveland Indians,2018,91,71,768,611,1448,1349,216,200,818,648,1189,1544,522,378
Minnesota Twins,2018,78,84,682,722,1380,1425,166,198,738,775,1328,1377,509,539
Detroit Tigers,2018,64,98,584,728,1327,1423,135,216,630,796,1341,1215,410,471
Chicago White Sox,2018,62,100,613,775,1332,1405,182,196,656,848,1594,1259,407,628
Kansas City Royals,2018,58,104,580,788,1350,1543,155,205,638,833,1310,1157,414,521
Houston Astros,2018,103,59,738,503,1389,1164,205,152,797,534,1197,1687,546,431
Oakland Athletics,2018,97,65,758,622,1407,1303,227,184,813,674,1381,1237,532,455
Seattle Mariners,2018,89,73,632,664,1402,1396,176,195,677,711,1221,1328,413,379
Los Angeles Angels,2018,80,82,675,663,1323,1353,214,205,721,722,1300,1386,476,529
Texas Rangers,2018,67,95,677,783,1308,1516,194,222,737,848,1484,1121,539,468
Atlanta Braves,2018,90,72,701,607,1433,1236,175,153,759,657,1290,1423,458,592
Washington Nationals,2018,82,80,717,649,1402,1320,191,198,771,682,1289,1417,575,450
Philadelphia Phillies,2018,80,82,637,666,1271,1366,186,171,677,728,1520,1465,549,465
New York Mets,2018,77,85,631,661,1282,1364,170,185,676,707,1404,1446,530,452
Miami Marlins,2018,63,98,525,763,1303,1388,128,192,589,809,1384,1249,429,532
Milwaukee Brewers,2018,96,67,694,606,1398,1259,218,173,754,659,1458,1428,505,519
Chicago Cubs,2018,95,68,695,598,1453,1319,167,157,761,645,1388,1333,509,589
St. Louis Cardinals,2018,88,74,694,623,1369,1354,205,144,759,691,1380,1337,485,544
Pittsburgh Pirates,2018,82,79,637,638,1381,1380,157,174,692,693,1229,1336,436,454
Cincinnati Reds,2018,67,95,662,745,1404,1491,172,228,696,819,1376,1258,524,472
Los Angeles Dodgers,2018,92,71,751,557,1394,1279,235,179,804,610,1436,1565,600,383
Colorado Rockies,2018,91,72,723,699,1418,1378,210,184,780,745,1397,1409,469,501
Arizona Diamondbacks,2018,82,80,643,606,1283,1313,176,174,693,644,1460,1448,524,479
San Francisco Giants,2018,73,89,575,642,1324,1387,133,156,603,699,1467,1269,408,487
San Diego Padres,2018,66,96,565,714,1289,1430,162,185,617,767,1523,1399,443,491
Boston Red Sox,2017,93,69,708,615,1461,1384,168,195,785,668,1224,1580,523,447
New York Yankees,2017,91,71,763,603,1463,1248,241,192,858,660,1386,1560,594,486
Tampa Bay Rays,2017,80,82,651,640,1340,1324,228,193,694,704,1538,1352,512,466
Toronto Blue Jays,2017,76,86,641,720,1320,1460,222,203,693,784,1327,1372,530,524
Baltimore Orioles,2017,75,87,689,796,1469,1505,232,242,743,841,1412,1233,380,558
Cleveland Indians,2017,102,60,775,529,1449,1267,212,163,818,564,1153,1614,574,391
Minnesota Twins,2017,85,77,759,734,1443,1487,206,224,815,788,1342,1166,567,446
Kansas City Royals,2017,80,82,656,740,1436,1480,193,196,702,791,1166,1216,371,495
Chicago White Sox,2017,67,95,645,755,1412,1384,186,242,706,820,1397,1193,384,596
Detroit Tigers,2017,64,98,682,846,1435,1586,187,218,735,894,1313,1202,482,496
Houston Astros,2017,101,61,820,662,1581,1314,238,192,896,700,1087,1593,482,505
Los Angeles Angels,2017,80,82,648,672,1314,1373,186,224,710,709,1198,1312,493,445
Seattle Mariners,2017,78,84,708,713,1436,1399,200,237,750,772,1267,1244,456,462
Texas Rangers,2017,78,84,745,749,1326,1443,237,214,799,816,1493,1107,526,537
Oakland Athletics,2017,75,87,707,743,1344,1444,234,210,739,826,1491,1202,550,485
Washington Nationals,2017,97,65,766,624,1477,1300,215,189,819,672,1327,1457,486,456
Miami Marlins,2017,77,85,715,772,1497,1450,194,193,778,822,1282,1202,438,568
Atlanta Braves,2017,72,90,684,756,1467,1463,165,192,732,821,1184,1258,417,545
New York Mets,2017,70,92,682,799,1379,1538,224,220,735,863,1291,1374,498,542
Philadelphia Phillies,2017,66,96,639,731,1382,1471,174,221,690,782,1417,1309,469,488
Chicago Cubs,2017,92,70,763,636,1402,1294,223,194,822,695,1401,1439,568,525
Milwaukee Brewers,2017,86,76,680,642,1363,1381,224,185,732,697,1571,1346,513,508
St. Louis Cardinals,2017,83,79,708,647,1402,1393,196,183,761,705,1348,1351,557,443
Pittsburgh Pirates,2017,75,87,604,677,1331,1464,151,182,668,731,1213,1262,480,479
Cincinnati Reds,2017,68,94,702,821,1390,1442,219,248,753,869,1329,1300,524,594
Los Angeles Dodgers,2017,104,58,731,543,1347,1226,221,184,770,580,1380,1549,608,409
Arizona Diamondbacks,2017,93,69,767,588,1405,1309,220,171,812,659,1456,1482,534,471
Colorado Rockies,2017,87,75,771,721,1510,1453,192,190,824,757,1408,1270,473,512
San Diego Padres,2017,71,91,567,747,1251,1417,189,226,604,816,1499,1325,440,526
San Francisco Giants,2017,64,98,574,726,1382,1515,128,182,639,776,1204,1234,430,454
Boston Red Sox,2016,93,69,878,640,1598,1342,208,176,878,694,1160,1362,524,474
Baltimore Orioles,2016,89,73,744,671,1413,1408,253,183,744,715,1324,1248,449,522
Toronto Blue Jays,2016,89,73,759,615,1358,1340,221,183,759,666,1362,1314,616,451
New York Yankees,2016,84,78,680,661,1378,1358,183,214,680,702,1188,1393,456,429
Tampa Bay Rays,2016,68,94,672,665,1333,1395,216,210,672,713,1482,1357,429,466
Cleveland Indians,2016,94,67,777,619,1435,1330,185,186,777,676,1246,1398,515,427
Detroit Tigers,2016,86,75,750,673,1476,1417,211,182,750,721,1303,1232,461,437
Kansas City Royals,2016,81,81,675,674,1450,1433,147,206,675,712,1224,1287,359,509
Chicago White Sox,2016,78,84,686,662,1428,1422,168,185,686,715,1285,1270,439,491
Minnesota Twins,2016,59,103,722,816,1409,1617,200,221,722,889,1426,1191,489,453
Texas Rangers,2016,95,67,765,703,1446,1441,215,201,765,757,1220,1154,413,518
Seattle Mariners,2016,86,76,768,647,1446,1410,223,213,768,707,1288,1318,477,430
