,Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,Faceoffs Won,Faceoffs Lost,Faceoffs %
403,Nikita Kucherov,T.B,R,69,1359.766667,33,77,50,27,110,85.27,206,16.02,0,3,0
165,Patrick Kane,CHI,R,67,1513.016667,40,57,34,23,97,78.86,287,13.94,1,1,50
677,Connor McDavid,EDM,C,64,1466.716667,33,63,47,16,96,82.76,202,16.34,357,403,46.97
78,Sidney Crosby,PIT,C,65,1352.316667,31,56,42,14,87,73.11,189,16.4,808,663,54.93
566,Nathan MacKinnon,COL,C,69,1516.433333,35,52,30,22,87,70.73,297,11.78,448,572,43.92
605,Leon Draisaitl,EDM,C,68,1525.216667,41,45,27,18,86,74.78,190,21.58,581,574,50.3
687,Mikko Rantanen,COL,R,69,1441.233333,30,56,34,22,86,74.78,180,16.67,15,23,39.47
368,Johnny Gaudreau,CGY,L,68,1372.833333,30,54,33,21,84,73.68,205,14.63,1,2,33.33
59,Blake Wheeler,WPG,R,67,1410.433333,19,64,46,18,83,76.15,194,9.79,27,54,33.33
643,Brayden Point,T.B,C,67,1257.216667,37,45,25,20,82,68.33,168,22.02,357,344,50.93
714,Mitchell Marner,TOR,"C, R",68,1336.2,24,58,45,13,82,71.3,196,12.24,4,4,50
107,Brad Marchand,BOS,L,67,1327.45,28,53,30,23,81,70.43,193,14.51,40,57,41.24
184,Steven Stamkos,T.B,C,69,1257.65,34,45,29,16,79,74.53,199,17.09,416,373,52.72
56,Alex Ovechkin,WSH,L,67,1395.683333,46,31,21,10,77,65.81,272,16.91,1,4,20
690,Sebastian Aho,CAR,"C, R",68,1361.3,30,47,27,20,77,72.64,208,14.42,468,498,48.45
236,John Tavares,TOR,C,68,1296.85,38,38,22,16,76,67.26,238,15.97,696,579,54.59
410,Mark Scheifele,WPG,C,67,1489.1,32,43,25,18,75,64.1,166,19.28,668,786,45.94
567,Aleksander Barkov,FLA,C,68,1542.716667,29,46,29,17,75,65.79,174,16.67,889,760,53.91
39,Brent Burns,S.J,D,68,1692.4,13,60,34,26,73,59.84,250,5.2,0,1,0
119,Claude Giroux,PHI,C,68,1445.666667,20,53,31,22,73,70.19,191,10.47,584,403,59.17
726,Artemi Panarin,CBJ,L,65,1308.733333,25,48,34,14,73,74.49,169,14.79,1,1,50
406,Jonathan Huberdeau,FLA,L,68,1284.566667,21,51,30,21,72,75.79,184,11.41,10,7,58.82
570,Elias Lindholm,CGY,C,68,1380.816667,26,46,25,21,72,63.16,165,15.76,440,378,53.79
571,Sean Monahan,CGY,C,68,1325.866667,30,42,24,18,72,66.67,191,15.71,410,402,50.49
678,Jack Eichel,BUF,C,65,1323.483333,25,47,28,19,72,72,259,9.65,512,551,48.17
131,Jonathan Toews,CHI,C,68,1427.483333,29,40,26,14,69,63.3,188,15.43,865,683,55.88
405,Gabriel Landeskog,COL,L,68,1434.316667,33,36,18,18,69,60.53,230,14.35,337,314,51.77
57,Evgeni Malkin,PIT,C,62,1165.45,21,47,29,18,68,80.95,171,12.28,341,421,44.75
124,Phil Kessel,PIT,R,68,1229.383333,22,46,25,21,68,80,176,12.5,4,5,44.44
232,Ryan O'Reilly,STL,C,68,1424.516667,26,40,22,18,66,70.97,187,13.9,915,692,56.94
349,Mark Stone,"OTT, VGK",R,65,1321.683333,29,37,25,12,66,66.67,165,17.58,26,33,44.07
626,David Pastrnak,BOS,R,56,1065.6,31,35,21,14,66,73.33,206,15.05,1,2,33.33
765,Alex DeBrincat,CHI,"L, R",68,1197.916667,37,29,15,14,66,68.04,191,19.37,16,18,47.06
409,Mika Zibanejad,NYR,C,68,1395.133333,27,38,20,18,65,76.47,201,13.43,689,698,49.68
441,Morgan Rielly,TOR,D,68,1551.366667,18,47,22,25,65,50,180,10,0,1,0
126,Nicklas Backstrom,WSH,C,67,1341.583333,17,47,28,19,64,66.67,149,11.41,592,612,49.17
411,Sean Couturier,PHI,C,66,1448.366667,28,36,24,12,64,62.75,180,15.56,614,460,57.17
45,Patrice Bergeron,BOS,C,52,975.8833333,25,38,21,17,63,68.48,165,15.15,648,482,57.35
218,Cam Atkinson,CBJ,R,66,1299.2,38,25,10,15,63,69.23,257,14.79,18,45,28.57
458,Teuvo Teravainen,CAR,L,68,1218.716667,18,45,29,16,63,76.83,141,12.77,14,20,41.18
